country,mort,gdppc,roadq,bac1000,precip,temp,mainland,registveh,seatbeltstand,invpubtrans,infra
Aruba,,37359.37,,,,,0.722,,,,
Afghanistan,15.1,1981.11,,0,327,12.6,0.006,655357,0,0,1.84
Angola,23.6,7103.23,2.2,0.6,1010,21.55,0.005,581530,0,1,2.13
Albania,13.6,12078.8,4.3,0.1,1485,11.4,0.187,445956,0,1,1.98
Andorra,7.6,37475,,0.5,,7.6,0.062,76394,1,1,
Arab World,19.45,14025.83,,,,,,,,,
United Arab Emirates,18.1,63968.85,6.4,0,78,27,0.106,2674894,0,1,4.07
Argentina,14,20307.87,3.3,0.5,591,14.8,0.025,23120241,1,1,2.86
Armenia,17.1,10704.23,3.7,0.8,562,7.15,0.043,300091,0,1,2.22
American Samoa,,,,,,,,,,,
Antigua and Barbuda,7.9,19918.79,,0,1030,26,0.305,29989,0,0,
Australia,5.6,47339.97,4.8,0.5,534,21.65,0.009,17180596,1,1,3.82
Austria,5.2,52684.02,6,0.5,1110,6.35,0.163,6384971,1,1,4.08
Azerbaijan,8.7,14371.02,4.8,0,447,11.95,0.035,1135936,0,0,
Burundi,34.7,796.94,3,0,1274,19.8,0.067,,,,1.98
Belgium,5.8,48597.4,4.5,0.5,847,9.55,0.299,6993767,1,1,4.05
Benin,27.5,3004.81,2.9,0.5,1039,27.55,0.02,34914,0,1,2.39
Burkina Faso,30.5,1895.29,2.8,0.5,748,28.25,0.007,1545903,0,0,2.67
Bangladesh,15.3,3849.11,3.1,0,2666,25,0.102,2088566,0,1,2.48
Bulgaria,10.2,20019.59,3.4,0.5,608,10.55,0.038,3502771,1,1,2.35
Bahrain,8,44769.03,5.1,0,83,27.15,0.652,545155,0,1,3.1
Bahamas,13.8,34154.26,,0.8,1292,24.85,,144388,0,0,2.72
Bosnia and Herzegovina,15.7,13072.12,3,0.3,1028,9.85,0.063,881200,0,0,2.61
Belarus,8.9,17725.75,,0.3,618,6.15,0.087,3900442,0,1,2.1
Belize,28.3,7179.46,,0.8,1705,25.3,0.03,56094,0,0,
Bermuda,,76362.05,,,,,,,,,
Bolivia,15.5,7499.78,3.5,0.5,1146,21.55,0.007,1206743,1,1,2.11
Brazil,19.7,14256.16,3.1,0,1761,24.95,0.01,81600729,1,1,3.11
Barbados,5.6,15952.07,3.2,0,1422,26,0.567,112118,0,1,
Brunei Darussalam,8,56296.02,4.8,0,2722,,,,,,2.75
Bhutan,17.4,10457.2,4.1,0.8,2200,7.4,0.049,68173,0,1,1.96
Botswana,23.8,17260.3,3.8,0.5,416,21.5,0.009,520793,0,0,2.96
